,survey_info_start_date,survey_info_end_date,survey_info_status,survey_info_ip_address,survey_info_progress,survey_info_duration,survey_info_finished,survey_info_recorded_date,survey_info_response_id,survey_info_last_name,survey_info_first_name,survey_info_email,survey_info_reference,survey_info_latitute,survey_info_longitude,survey_info_dist_channel,survey_info_language,attitude_criticality,attitude_motivation,attitude_priority,education_impact,education_institution_effort,education_surgical_team,education_resuable_safety,education_reprocess_safety,barriers_surgical_staff,barriers_use_items,barriers_roadblocks,barriers_no_impact,willingness_reusable,willingness_reprocessed,willingness_reusable_gown,willingness_reusable_towel,willingness_prefcard_review,willingness_colleagues,willingness_scorecard,willingness_alcohol,willingness_los,willingness_telemedicine,incentive_personal_cash,incentive_division_cash,incentive_personal_percent,incentive_division_research_funding,incentive_personal_perk,incentive_division_perk,incentive_personal_recognition_from_dept,incentive_division_recognition_from_dept,incentive_personal_recognition_natl,inactive_state,inactive_institution_name,inactive_practice_setting,demographic_practice_list,demographic_role_list,demographic_years_in_practice,comments_text,demographic_distribution,quality_ambiguous_text,quality_ambiguous_questions,quality_straightlining_pct,quality_straightlining_questions,quality_unanswered_pct,quality_unanswered_questions,,demographic_us_region,demographic_acs_trauma_region,demographic_sample_size,quality_unanswered_length
251,2023-08-17 17:02:26,2023-08-17 17:06:53,IP Address,128.252.210.1,100,267,True,2023-08-17 17:06:53,R_2OQ5s6sOHgYS7E2,,,,,38.617,-90.2566,anonymous,EN,Moderately critical,Moderately motivated,Moderate priority,Moderately well,Not at a lot of effort,Slightly well,Quite true,Quite true,Sometimes,Often,Slightly true,Moderately confident,Extremely willing,Extremely willing,Quite willing,Quite willing,Quite willing,Moderately willing,Moderately willing,Slightly willing,Not at all willing,Extremely willing,Moderately motivated,Moderately motivated,Quite motivated,Quite motivated,Slightly motivated,Slightly motivated,Slightly motivated,Slightly motivated,Slightly motivated,,,,['Colon and Rectal Surgery'],,1,,washu,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Midwest,7,99,1
252,2023-08-17 17:29:07,2023-08-17 17:34:33,IP Address,166.182.85.166,100,325,True,2023-08-17 17:34:34,R_3r0BFqeVcWKjckD,,,,,38.5774,-90.6709,anonymous,EN,Slightly critical,Moderately motivated,Moderate priority,Moderately well,Not at a lot of effort,Slightly well,Extremely true,Moderately true,Once in a while,Often,Slightly true,Slightly confident,Moderately willing,Moderately willing,Not at all willing,Moderately willing,Quite willing,Quite willing,Moderately willing,I am already doing this,Moderately willing,Extremely willing,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,,,,['Transplant Surgery'],,1,,washu,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Midwest,7,99,1
253,2023-08-17 20:55:38,2023-08-17 21:12:57,IP Address,24.107.18.195,100,1039,True,2023-08-17 21:12:58,R_3nTmUri7WoL1aOw,,,,,38.6287,-90.1988,anonymous,EN,Extremely critical,Extremely motivated,Quite a high priority,Moderately well,Slight effort,Slightly well,Extremely true,Extremely true,Sometimes,Often,Slightly true,Extremely true,I am already doing this,I am already doing this,Moderately willing,Quite willing,I am already doing this,Slightly willing,I am already doing this,I am already doing this,I am already doing this,Extremely willing,Slightly motivated,Moderately motivated,Not at all motivated,Slightly motivated,Not at all motivated,Slightly motivated,Moderately motivated,Moderately motivated,Moderately motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Endocrine Surgery']",,26,THank you,washu,0,,0,0,,['0.02857142857142857'],QID1,Midwest,7,99,1
254,2023-08-18 05:10:52,2023-08-18 05:22:00,IP Address,163.116.144.53,100,667,True,2023-08-18 05:22:00,R_29n8yBcCnzGAbOs,,,,,42.3562,-71.0631,anonymous,EN,Quite critical,Moderately motivated,Moderate priority,Not very well,Not at a lot of effort,Not very well,Quite true,Quite true,Sometimes,Almost never,Extremely true,Not at all confident,Quite willing,I am already doing this,Quite willing,Extremely willing,Extremely willing,Quite willing,Not at all willing,I am already doing this,I am already doing this,Not at all willing,Quite motivated,Moderately motivated,Moderately motivated,Quite motivated,Moderately motivated,Moderately motivated,Moderately motivated,Moderately motivated,Quite motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery']",Program Director (or Assistant Program Director),22,i think that one of the biggest incentives is to have the administration on board - so there has to be a financial benefit for the hospital.  there are so many hidden costs in using reusable equipment (reusable trocars for example) that we stopped doing it b/c it was actually costing us more in time/people.  Reusable energy equipment (harmonic) is easy b/c it costs less and it's easy for administration to support it.  anything that adds work for the staff will not work given staff shortage. in our area most hospitals are in perpetual crisis mode.,lahey,0,,0,0,,['0'],,Northeast,1,38,1
255,2023-08-18 05:29:46,2023-08-18 05:33:38,IP Address,163.116.144.34,100,232,True,2023-08-18 05:33:39,R_ThcMkgoJj9g2Vax,,,,,42.3562,-71.0631,anonymous,EN,Quite critical,Moderately motivated,Quite a high priority,Not very well,Not at a lot of effort,Not very well,Quite true,Extremely true,Almost always,Often,Quite true,Slightly confident,Quite willing,Quite willing,Moderately willing,Extremely willing,Extremely willing,Quite willing,Not at all willing,I am already doing this,Extremely willing,Not at all willing,Slightly motivated,Slightly motivated,Quite motivated,Slightly motivated,Moderately motivated,Not at all motivated,Slightly motivated,Slightly motivated,Moderately motivated,,,,['Vascular Surgery'],Department Chair,35,,lahey,0,,0,0,,['0.02857142857142857'],QID13,Northeast,1,38,1
256,2023-08-18 11:54:28,2023-08-18 11:58:17,IP Address,128.252.154.3,100,229,True,2023-08-18 11:58:18,R_2dvbzONLMKjJHgn,,,,,38.6433,-90.2575,anonymous,EN,Quite critical,Quite motivated,Quite a high priority,Not very well,Not at a lot of effort,Not very well,Extremely true,Extremely true,Once in a while,Often,Moderately true,Slightly confident,Quite willing,Quite willing,Moderately willing,Slightly willing,Extremely willing,Quite willing,Quite willing,I am already doing this,I am already doing this,I am already doing this,Quite motivated,Quite motivated,Extremely motivated,Extremely motivated,Moderately motivated,Slightly motivated,Moderately motivated,Moderately motivated,Moderately motivated,,,,['Transplant Surgery'],,1,Thanks for efforts in this area!,washu,0,,0,0,,['0.02857142857142857'],QID1,Midwest,7,99,1
265,2023-08-24 12:18:11,2023-08-24 12:21:16,IP Address,157.139.19.29,100,184,True,2023-08-24 12:21:17,R_21aCwJ1qjBp6tRL,,,,,40.7123,-74.0068,anonymous,EN,Quite critical,Quite motivated,Quite a high priority,Moderately well,Not at a lot of effort,Not very well,Slightly true,Quite true,Almost always,Once in a while,Extremely true,Extremely true,Extremely willing,Extremely willing,Extremely willing,Quite willing,Quite willing,Quite willing,Slightly willing,Not at all willing,Slightly willing,Slightly willing,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Slightly motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,['Pediatric Surgery'],,15,Way too much waste in the OR,cornell,0,,0,0,,['0.02857142857142857'],QID1,Northeast,2,49,1
266,2023-08-24 12:38:07,2023-08-24 12:44:41,IP Address,157.139.19.54,100,394,True,2023-08-24 12:44:42,R_xfkBbyTOTvXvcIh,,,,,40.7123,-74.0068,anonymous,EN,Extremely critical,Extremely motivated,Quite a high priority,Quite well,Slight effort,Not very well,Extremely true,Quite true,Often,Often,Moderately true,Extremely true,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,I am already doing this,Extremely willing,I am already doing this,Extremely motivated,Extremely motivated,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Extremely motivated,,,,['Trauma Surgery/Critical Care'],Program Director (or Assistant Program Director),16,,cornell,0,,0,0,,['0.02857142857142857'],QID13,Northeast,2,49,1
267,2023-08-24 13:04:19,2023-08-24 13:08:12,IP Address,162.33.226.1,100,233,True,2023-08-24 13:08:13,R_2abh38siOVu9F56,,,,,40.7123,-74.0068,anonymous,EN,Moderately critical,Moderately motivated,Moderate priority,Extremely well,Moderate effort,Not very well,Slightly true,Slightly true,Once in a while,Once in a while,Slightly true,Not at all confident,Moderately willing,Quite willing,Slightly willing,Slightly willing,Extremely willing,Moderately willing,Extremely willing,I am already doing this,Moderately willing,Slightly willing,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Slightly motivated,Slightly motivated,Slightly motivated,Slightly motivated,,,,['Vascular Surgery'],,,,cornell,0,,0,0,,['0.08571428571428572'],"QID1,QID13,QID62",Northeast,2,49,1
268,2023-08-24 13:09:25,2023-08-24 13:13:29,IP Address,207.42.20.74,100,244,True,2023-08-24 13:13:30,R_1n7qfYsJ2A127iX,,,,,44.4502,-75.6727,anonymous,EN,Moderately critical,Quite motivated,Moderate priority,Moderately well,Slight effort,Slightly well,Moderately true,Slightly true,Once in a while,Sometimes,Not at all true,Moderately confident,Quite willing,Moderately willing,Moderately willing,Quite willing,Quite willing,I am already doing this,Quite willing,Extremely willing,Quite willing,Moderately willing,Slightly motivated,Slightly motivated,Slightly motivated,Slightly motivated,Not at all motivated,Not at all motivated,Not at all motivated,Slightly motivated,Not at all motivated,,,,['Colon and Rectal Surgery'],,30,,cornell,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Northeast,2,49,1
270,2023-08-25 13:54:03,2023-08-25 14:00:48,IP Address,155.190.17.4,100,404,True,2023-08-25 14:00:48,R_RmqehIh3UYZhHiN,,,,,39.786,-86.1589,anonymous,EN,Extremely critical,Extremely motivated,Top priority,Not very well,Moderate effort,Not very well,Not at all true,Not at all true,Almost always,Almost always,Extremely true,Extremely true,Extremely willing,Extremely willing,Not at all willing,I am already doing this,Extremely willing,Not at all willing,Not at all willing,I am already doing this,I am already doing this,I am already doing this,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Moderately motivated,Extremely motivated,Quite motivated,Extremely motivated,,,,['Trauma Surgery/Critical Care'],Program Director (or Assistant Program Director),,,northwestern,0,,0,0,,['0.05714285714285714'],"QID13,QID62",Midwest,5,58,1
271,2023-08-25 14:12:17,2023-08-25 14:22:06,IP Address,157.139.19.54,100,588,True,2023-08-25 14:22:07,R_2OUvgi79qekuNbJ,,,,,40.7123,-74.0068,anonymous,EN,Moderately critical,Quite motivated,Moderate priority,Quite well,Not at a lot of effort,Moderately well,Quite true,Quite true,Almost never,Often,Moderately true,Moderately confident,Quite willing,Quite willing,Moderately willing,Moderately willing,Quite willing,Moderately willing,Quite willing,I am already doing this,I am already doing this,Extremely willing,Extremely motivated,Slightly motivated,Extremely motivated,Slightly motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,['Plastics Surgery'],Program Director (or Assistant Program Director),12,"our focus should always be on maintaining excellence on patient care, not primarily on sustainability. 
we should not compromise the former for the latter.  This prioritization was not apparent in the survey.
",cornell,0,,0,0,,['0'],,Northeast,2,49,1
272,2023-08-25 16:56:13,2023-08-25 17:00:38,IP Address,204.147.223.1,100,265,True,2023-08-25 17:00:39,R_3QKrtQnVePoaoZA,,,,,47.6008,-122.3248,anonymous,EN,Quite critical,Moderately motivated,Quite a high priority,Slightly well,Not at a lot of effort,Not very well,Extremely true,Extremely true,Often,Almost never,Extremely true,Slightly confident,Extremely willing,Quite willing,I am already doing this,I am already doing this,I am already doing this,Quite willing,Extremely willing,Extremely willing,I am already doing this,Extremely willing,Extremely motivated,Quite motivated,Extremely motivated,Extremely motivated,Moderately motivated,Not at all motivated,Slightly motivated,Slightly motivated,Moderately motivated,,,,['Colon and Rectal Surgery'],,5,"think about recognizing 'high-performing team' rather than individual, since this kind of change can be enacted when you have a designated team, but harder when rotating staff in OR",virginiamason,0,,0,0,,['0.02857142857142857'],QID1,West,10,24,1
273,2023-08-25 17:17:21,2023-08-25 17:21:14,IP Address,204.147.223.1,100,233,True,2023-08-25 17:21:15,R_3CDvHm3ifyUhxdp,,,,,47.6008,-122.3248,anonymous,EN,Quite critical,Quite motivated,Moderate priority,Not very well,Not at a lot of effort,Not very well,Moderately true,Moderately true,Almost always,Often,Slightly true,Not at all confident,Extremely willing,Extremely willing,I am already doing this,I am already doing this,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,I am already doing this,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,['Breast Surgery'],,38,,virginiamason,0,,0,0,,['0.05714285714285714'],"QID1,QID13",West,10,24,1
274,2023-08-25 17:49:03,2023-08-25 17:55:19,IP Address,204.147.223.1,100,375,True,2023-08-25 17:55:19,R_2Xd51UnstLGVrjL,,,,,47.6008,-122.3248,anonymous,EN,Extremely critical,Extremely motivated,Quite a high priority,Extremely well,Not at a lot of effort,Not very well,Extremely true,Extremely true,Often,Almost never,Not at all true,Extremely true,I am already doing this,I am already doing this,I am already doing this,I am already doing this,I am already doing this,I am already doing this,Extremely willing,Quite willing,I am already doing this,I am already doing this,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Colon and Rectal Surgery', 'Endocrine Surgery', 'Hepatopancreaticobiliary Surgery', 'Surgical Oncology']",Department Chair,30,"Thank you for doing this study.  I am on a personal crusade at my institution to accomplish many of your implied initiatives, both for cost savings and environmental stewardship.

Tom Biehl",virginiamason,0,,0,0,,['0'],,West,10,24,1
275,2023-08-27 06:38:09,2023-08-27 06:44:43,IP Address,74.195.52.204,100,394,True,2023-08-27 06:44:44,R_2cB1TcCWdgs0y6L,,,,,33.5119,-101.9316,anonymous,EN,Moderately critical,Moderately motivated,Low priority,Slightly well,Slight effort,Slightly well,Quite true,Quite true,Often,Sometimes,Moderately true,Quite confident,Quite willing,Quite willing,Quite willing,Quite willing,Extremely willing,Extremely willing,Extremely willing,Not at all willing,Quite willing,Quite willing,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Moderately motivated,Extremely motivated,Extremely motivated,,,,['Other'],,35,,texastech,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Southwest,6,27,1
277,2023-08-27 22:07:16,2023-08-27 22:13:32,IP Address,75.172.85.117,100,375,True,2023-08-27 22:13:32,R_2BqHlt22LZTvwgH,,,,,47.5364,-122.278,anonymous,EN,Extremely critical,Moderately motivated,Quite a high priority,Slightly well,Slight effort,Slightly well,Quite true,Moderately true,Often,Sometimes,Slightly true,Moderately confident,Slightly willing,I am already doing this,I am already doing this,Quite willing,Extremely willing,Quite willing,Extremely willing,Moderately willing,I am already doing this,Moderately willing,Extremely motivated,Extremely motivated,Extremely motivated,Slightly motivated,Slightly motivated,Quite motivated,Moderately motivated,Moderately motivated,Moderately motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery']",,5,,virginiamason,0,,0,0,,['0.05714285714285714'],"QID1,QID13",West,10,24,1
279,2023-08-29 17:43:06,2023-08-29 17:48:36,IP Address,166.198.252.76,100,330,True,2023-08-29 17:48:37,R_3k0Mxhl0GqzW01Q,,,,,47.5364,-122.278,anonymous,EN,Moderately critical,Quite motivated,Quite a high priority,Moderately well,Not at a lot of effort,Slightly well,Quite true,Slightly true,Almost always,Often,Moderately true,Slightly confident,Moderately willing,Slightly willing,Quite willing,Extremely willing,Extremely willing,Quite willing,Quite willing,I am already doing this,I am already doing this,Extremely willing,Extremely motivated,Quite motivated,Extremely motivated,Extremely motivated,Moderately motivated,Slightly motivated,Moderately motivated,Slightly motivated,Quite motivated,,,,['Abdominal Wall/Hernia Surgery'],,13,,vanderbilt,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Southeast,4,88,1
280,2023-08-30 10:56:00,2023-08-30 11:00:48,IP Address,204.147.223.1,100,287,True,2023-08-30 11:00:49,R_2xFw2cSsA2sLfdj,,,,,47.6008,-122.3248,anonymous,EN,Extremely critical,Extremely motivated,Quite a high priority,Slightly well,Slight effort,Slightly well,Moderately true,Quite true,Often,Sometimes,Moderately true,Moderately confident,Not at all willing,Quite willing,I am already doing this,Extremely willing,I am already doing this,Extremely willing,Extremely willing,I am already doing this,I am already doing this,I am already doing this,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Slightly motivated,Moderately motivated,Moderately motivated,Moderately motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery']",Program Director (or Assistant Program Director),22,,virginiamason,0,,0,0,,['0.02857142857142857'],QID13,West,10,24,1
285,2023-09-04 16:12:26,2023-09-04 16:19:11,IP Address,205.220.129.29,100,404,True,2023-09-04 16:19:11,R_1IyO5XPbBJFqiDC,,,,,37.751,-97.822,anonymous,EN,Moderately critical,Moderately motivated,Moderate priority,Moderately well,Moderate effort,Slightly well,Not at all true,Not at all true,Often,Often,Not at all true,Quite confident,Slightly willing,Not at all willing,Moderately willing,Not at all willing,Quite willing,Not at all willing,Slightly willing,Slightly willing,Extremely willing,Moderately willing,Quite motivated,Moderately motivated,Extremely motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,['Surgical Oncology'],,,,ucsf,0,,0,0,,['0.08571428571428572'],"QID1,QID13,QID62",West,9,123,1
287,2023-09-10 10:03:47,2023-09-10 10:27:10,IP Address,104.28.103.51,100,1402,True,2023-09-10 10:27:10,R_238qfu07MfvEdH3,,,,,38.6287,-90.1988,anonymous,EN,Extremely critical,Extremely motivated,Quite a high priority,Moderately well,Not at a lot of effort,Slightly well,Extremely true,Extremely true,Almost never,Often,Moderately true,Extremely true,I am already doing this,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,I am already doing this,Extremely willing,Slightly motivated,Slightly motivated,Extremely motivated,Extremely motivated,Slightly motivated,Not at all motivated,Not at all motivated,Not at all motivated,Slightly motivated,,,,"['Cardiac Surgery', 'Other']",Program Director (or Assistant Program Director),22,I don’t need perks though that would be nice. I am extremely motivated because I want a better future for my son and frankly I feel like a hypocrite standing at scrub sink with water running when it doesn’t need to continuously or changing out/throwing away scrub hats… I’m not advocating reusing gloves and understand there is a balance but we simply have not paid much attention in this area and the companies and hospitals have far too much incentives for disposable items or not allowing to use what you need (eg only a fraction of a silastic patch but then throwing away the remaining large portion and not allowing resterilization without consideration of how the patch is being used). Regulatory bodies need to help out too- right now that is not part of FDA or CMS DNA. ,washu,0,,0,0,,['0'],,Midwest,7,99,1
289,2023-09-30 11:18:17,2023-09-30 11:24:14,IP Address,166.205.124.106,100,357,True,2023-09-30 11:24:15,R_1eOCl7AeWLd41Yt,,,,,41.8972,-87.6196,anonymous,EN,Moderately critical,Moderately motivated,Moderate priority,Moderately well,Not at a lot of effort,Not very well,Not at all true,Not at all true,Often,Sometimes,Moderately true,Moderately confident,Moderately willing,Moderately willing,Moderately willing,Moderately willing,Quite willing,Moderately willing,Quite willing,Not at all willing,Extremely willing,Extremely willing,Extremely motivated,Quite motivated,Extremely motivated,Quite motivated,Extremely motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,['Trauma Surgery/Critical Care'],,13,,northwestern,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Midwest,5,58,1
290,2023-09-30 11:51:48,2023-09-30 11:54:51,IP Address,108.147.32.77,100,183,True,2023-09-30 11:54:52,R_xtj6kSyUbUDql7r,,,,,32.7797,-96.8022,anonymous,EN,Quite critical,Quite motivated,Quite a high priority,Not very well,Not at a lot of effort,Not very well,Extremely true,Extremely true,Almost always,Sometimes,Extremely true,Moderately confident,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Quite willing,Extremely willing,Extremely willing,Slightly willing,Extremely willing,Quite motivated,Quite motivated,Extremely motivated,Moderately motivated,Not at all motivated,Slightly motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Plastics Surgery']",Department Chair,25,,northwestern,0,,0,0,,['0.02857142857142857'],QID13,Midwest,5,58,1
291,2023-09-30 12:29:22,2023-09-30 12:37:14,IP Address,204.62.119.246,100,472,True,2023-09-30 12:37:15,R_3HUebyczQyM05mV,,,,,41.9025,-87.6726,anonymous,EN,Moderately critical,Slightly motivated,Low priority,Moderately well,Slight effort,Slightly well,Extremely true,Extremely true,Once in a while,Sometimes,Slightly true,Not at all confident,Extremely willing,Extremely willing,Slightly willing,Extremely willing,Extremely willing,Moderately willing,Quite willing,Not at all willing,I am already doing this,I am already doing this,Not at all motivated,Not at all motivated,Not at all motivated,Slightly motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,['Colon and Rectal Surgery'],,13,,northwestern,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Midwest,5,58,1
293,2023-09-30 13:13:41,2023-09-30 13:18:47,IP Address,98.63.31.56,100,305,True,2023-09-30 13:18:47,R_3p4OgeusRkyKJC4,,,,,41.8972,-87.6196,anonymous,EN,Extremely critical,Extremely motivated,Top priority,Moderately well,Not at a lot of effort,Not very well,Moderately true,Moderately true,Almost always,Sometimes,Extremely true,Moderately confident,Extremely willing,Extremely willing,Extremely willing,Extremely willing,I am already doing this,Moderately willing,Moderately willing,Quite willing,Extremely willing,Moderately willing,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Moderately motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,['Breast Surgery'],,20,,northwestern,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Midwest,5,58,1
294,2023-09-30 14:03:57,2023-09-30 14:06:38,IP Address,174.208.229.104,100,160,True,2023-09-30 14:06:39,R_VW3yMx7UXlvV34R,,,,,41.8764,-87.6133,anonymous,EN,Quite critical,Quite motivated,Quite a high priority,Moderately well,Not at a lot of effort,Not very well,Quite true,Moderately true,Sometimes,Often,Quite true,Not at all confident,Quite willing,Quite willing,Extremely willing,Extremely willing,Quite willing,Quite willing,Extremely willing,I am already doing this,I am already doing this,Extremely willing,Extremely motivated,Quite motivated,Moderately motivated,Quite motivated,Extremely motivated,Slightly motivated,Slightly motivated,Slightly motivated,Slightly motivated,,,,['Cardiac Surgery'],,,,northwestern,0,,0,0,,['0.08571428571428572'],"QID1,QID13,QID62",Midwest,5,58,1
295,2023-09-30 15:32:08,2023-09-30 15:38:40,IP Address,107.122.189.102,100,391,True,2023-09-30 15:38:40,R_3J9r4IvIy66tBhV,,,,,39.037,-77.0412,anonymous,EN,Quite critical,Quite motivated,Moderate priority,Slightly well,Not at a lot of effort,Not very well,Quite true,Quite true,Often,Sometimes,Moderately true,Moderately confident,Moderately willing,Moderately willing,Moderately willing,Extremely willing,I am already doing this,Extremely willing,I am already doing this,Quite willing,I am already doing this,I am already doing this,Extremely motivated,Extremely motivated,Extremely motivated,Moderately motivated,Moderately motivated,Slightly motivated,Slightly motivated,Slightly motivated,Slightly motivated,,,,['Endocrine Surgery'],,20,,northwestern,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Midwest,5,58,1
296,2023-09-30 17:35:32,2023-09-30 17:38:47,IP Address,204.62.119.241,100,195,True,2023-09-30 17:38:48,R_1GTdv6npombGjSm,,,,,41.9025,-87.6726,anonymous,EN,Quite critical,Quite motivated,Quite a high priority,Not very well,Slight effort,Not very well,Quite true,Moderately true,Often,Sometimes,Quite true,Moderately confident,Extremely willing,Extremely willing,Slightly willing,Moderately willing,Quite willing,Quite willing,Extremely willing,I am already doing this,I am already doing this,I am already doing this,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Moderately motivated,Moderately motivated,Moderately motivated,Slightly motivated,,,,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",Program Director (or Assistant Program Director),8,,northwestern,0,,0,0,,['0.02857142857142857'],QID13,Midwest,5,58,1
298,2023-10-01 06:17:52,2023-10-01 06:21:38,IP Address,200.54.223.248,100,225,True,2023-10-01 06:21:39,R_2YJ0UWuTolREwAb,,,,,8.9948,-79.523,anonymous,EN,Quite critical,Moderately motivated,Quite a high priority,Not very well,Not at a lot of effort,Not very well,Extremely true,Extremely true,Almost always,Almost never,Quite true,Slightly confident,Quite willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,,,,['Transplant Surgery'],"Department Chair,Program Director (or Assistant Program Director)",12,,northwestern,0,,0,0,,['0.02857142857142857'],QID13,Midwest,5,58,1
299,2023-10-01 09:59:55,2023-10-01 10:05:45,IP Address,73.22.79.113,100,350,True,2023-10-01 10:05:46,R_QcOxkjNgaHiGIg1,,,,,42.077,-87.7209,anonymous,EN,Quite critical,Extremely motivated,Top priority,Slightly well,Not at a lot of effort,Not very well,Quite true,Quite true,Often,Once in a while,Quite true,Moderately confident,Extremely willing,Quite willing,Quite willing,Extremely willing,Quite willing,Extremely willing,Extremely willing,I am already doing this,Extremely willing,Slightly willing,Moderately motivated,Moderately motivated,Extremely motivated,Moderately motivated,Slightly motivated,Slightly motivated,Moderately motivated,Moderately motivated,Moderately motivated,,,,['Breast Surgery'],,32,,northwestern,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Midwest,5,58,1
300,2023-10-01 11:09:06,2023-10-01 11:13:40,IP Address,142.147.57.252,100,274,True,2023-10-01 11:13:41,R_1EWpWWDYsCmwx8v,,,,,41.8972,-87.6196,anonymous,EN,Moderately critical,Quite motivated,Moderate priority,Slightly well,Slight effort,Not very well,Quite true,Moderately true,Often,Often,Slightly true,Moderately confident,Quite willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Quite willing,Moderately willing,Quite willing,Extremely willing,Moderately willing,Slightly motivated,Moderately motivated,Moderately motivated,Moderately motivated,Not at all motivated,Not at all motivated,Slightly motivated,Slightly motivated,Slightly motivated,,,,['Colon and Rectal Surgery'],,31,,northwestern,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Midwest,5,58,1
301,2023-10-01 11:54:16,2023-10-01 11:58:47,IP Address,204.62.119.241,100,271,True,2023-10-01 11:58:48,R_PCEtQ1TO25SUCXv,,,,,41.9025,-87.6726,anonymous,EN,Slightly critical,Moderately motivated,Moderate priority,Not very well,Not at a lot of effort,Not very well,Extremely true,Quite true,Sometimes,Often,Moderately true,Slightly confident,Quite willing,Quite willing,Extremely willing,Extremely willing,Extremely willing,Moderately willing,Extremely willing,I am already doing this,Slightly willing,Slightly willing,Extremely motivated,Moderately motivated,Extremely motivated,Quite motivated,Moderately motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Bariatric/Minimally Invasive Surgery']",,6,,northwestern,0,,0,0,,['0.05714285714285714'],"QID1,QID13",Midwest,5,58,1
